"","probability_first_option_wins","size","Probability"
"1",0.51,11,0.527052274285027
"2",0.51,12,0.414529738101231
"3",0.51,13,0.5293027250087
"4",0.51,14,0.424859306922904
"5",0.51,15,0.531391593370418
"6",0.51,16,0.433515055196765
"7",0.51,17,0.533349124133889
"8",0.51,18,0.440947146995416
"9",0.51,19,0.535197163676659
"10",0.51,20,0.447450398146422
"11",0.51,21,0.536952098987258
"12",0.51,22,0.453227326109785
"13",0.51,23,0.538626594444811
"14",0.51,24,0.458422448266829
"15",0.51,25,0.540230677368368
"16",0.51,26,0.463142153791918
"17",0.51,27,0.541772447839898
"18",0.51,28,0.467466819964563
"19",0.51,29,0.543258560397404
"20",0.51,30,0.471458518294022
"21",0.51,31,0.544694561239475
"22",0.51,32,0.475166092968131
"23",0.51,33,0.546085130604908
"24",0.51,34,0.478628610688044
"25",0.51,35,0.547434261003238
"26",0.51,36,0.481877766397386
"27",0.51,37,0.548745390895352
"28",0.51,38,0.484939599729663
"29",0.51,39,0.550021506718676
"30",0.51,40,0.487835744590673
"31",0.51,41,0.551265221961237
"32",0.51,42,0.490584355276725
"33",0.51,43,0.552478839294935
"34",0.51,44,0.493200803919318
"35",0.51,45,0.553664400002455
"36",0.51,46,0.495698213322742
"37",0.51,47,0.554823723736043
"38",0.51,48,0.498087869368616
"39",0.51,49,0.55595844082337
"40",0.51,50,0.500379543998225
"41",0.51,51,0.557070018759897
"42",0.51,52,0.50258175090244
"43",0.51,53,0.55815978411705
"44",0.51,54,0.504701949947293
"45",0.51,55,0.559228940800445
"46",0.51,56,0.506746712104287
"47",0.51,57,0.560278585374347
"48",0.51,58,0.50872185363528
"49",0.51,59,0.561309720009125
"50",0.51,60,0.510632546113545
"51",0.51,61,0.562323263487058
"52",0.51,62,0.512483407283974
"53",0.51,63,0.563320060611081
"54",0.51,64,0.514278576604594
"55",0.51,65,0.564300890291207
"56",0.51,66,0.516021778445191
"57",0.51,67,0.565266472528146
"58",0.51,68,0.517716375270998
"59",0.51,69,0.566217474473294
"60",0.51,70,0.519365412643847
"61",0.51,71,0.567154515709861
"62",0.51,72,0.520971657496923
"63",0.51,73,0.568078172874131
"64",0.51,74,0.522537630845912
"65",0.51,75,0.56898898371468
"66",0.51,76,0.524065635874534
"67",0.51,77,0.569887450671508
"68",0.51,78,0.525557782151233
"69",0.51,79,0.570774044041861
"70",0.51,80,0.527016006597242
"71",0.51,81,0.571649204790821
"72",0.51,82,0.528442091710258
"73",0.51,83,0.572513347052412
"74",0.51,84,0.52983768146273
"75",0.51,85,0.573366860364189
"76",0.51,86,0.531204295218934
"77",0.51,87,0.574210111667119
"78",0.51,88,0.532543339958345
"79",0.51,89,0.575043447101249
"80",0.51,90,0.533856121045643
"81",0.51,91,0.575867193622418
"82",0.51,92,0.535143851748577
"83",0.51,93,0.576681660459874
"84",0.51,94,0.536407661673166
"85",0.51,95,0.57748714043558
"86",0.51,96,0.537648604260796
"87",0.51,97,0.578283911159116
"88",0.51,98,0.538867663467723
"89",0.51,99,0.57907223611293
"90",0.51,100,0.540065759732552
"91",0.51,101,0.579852365640495
"92",0.51,102,0.541243755319253
"93",0.51,103,0.580624537846942
"94",0.51,104,0.542402459112829
"95",0.51,105,0.581388979421627
"96",0.51,106,0.543542630933176
"97",0.51,107,0.582145906391398
"98",0.51,108,0.544664985423367
"99",0.51,109,0.58289552481082
"100",0.51,110,0.545770195562054
"101",0.51,111,0.583638031395752
